state,overall
Massachusetts ,1
Washington ,2
Maryland ,3
California ,4
Delaware ,5
Utah ,6
Virginia ,7
Oregon ,8
Colorado ,9
New York ,10
Minnesota ,11
Illinois ,12
Texas ,13
Vermont ,14
Michigan ,15
Pennsylvania ,16
Indiana ,17
Connecticut ,18
Rhode Island ,19
Maine ,20
Georgia ,21
Ohio ,22
New Jersey ,23
Arizona ,24
Wisconsin ,25
Florida ,26
Missouri ,27
New Hampshire ,28
Nebraska ,29
Nevada ,30
Iowa ,31
North Carolina ,32
Kansas ,33
Tennessee ,34
Oklahoma ,35
Kentucky ,36
Hawaii ,37
Arkansas ,38
New Mexico ,39
Idaho ,40
Alaska ,41
North Dakota ,42
South Dakota ,43
Montana ,44
Wyoming ,45
South Carolina ,46
Alabama ,47
Louisiana ,48
West Virginia ,49
Mississippi ,50